,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-4,t-5,t-6,t-9,t-10,t-11
51,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,11,2954.0,3560.0,7490.0,3833.0,4394.0,315.0,4920.0,4104.0,0.0,0.0
52,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,12,3234.0,2954.0,3560.0,7490.0,3833.0,4394.0,315.0,978.0,4104.0,0.0
53,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,1,1300.0,3234.0,2954.0,3560.0,7490.0,3833.0,4394.0,4090.0,978.0,4104.0
54,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,2,270.0,1300.0,3234.0,2954.0,3560.0,7490.0,3833.0,4920.0,4090.0,978.0
55,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,3,1238.0,270.0,1300.0,3234.0,2954.0,3560.0,7490.0,315.0,4920.0,4090.0
56,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,4,80.0,1238.0,270.0,1300.0,3234.0,2954.0,3560.0,4394.0,315.0,4920.0
57,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,5,510.0,80.0,1238.0,270.0,1300.0,3234.0,2954.0,3833.0,4394.0,315.0
58,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,6,287.0,510.0,80.0,1238.0,270.0,1300.0,3234.0,7490.0,3833.0,4394.0
59,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,7,1235.0,287.0,510.0,80.0,1238.0,270.0,1300.0,3560.0,7490.0,3833.0
60,Asia,Industrias Manufactureras,2016.0,8,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,144366936.0,177079136.0,208212602.0,195019516.0,210494948.0
61,Asia,Industrias Manufactureras,2016.0,9,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,144366936.0,174151450.0,208212602.0,195019516.0
62,Asia,Industrias Manufactureras,2016.0,10,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,181516595.0,174151450.0,208212602.0
63,Asia,Industrias Manufactureras,2016.0,11,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,177079136.0,181516595.0,174151450.0
64,Asia,Industrias Manufactureras,2016.0,12,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,144366936.0,177079136.0,181516595.0
65,Asia,Industrias Manufactureras,2017.0,1,169275847.0,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,179504515.0,144366936.0,177079136.0
66,Asia,Industrias Manufactureras,2017.0,2,155214405.0,169275847.0,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,179216572.0,179504515.0,144366936.0
67,Asia,Industrias Manufactureras,2017.0,3,323553366.0,155214405.0,169275847.0,175626361.0,168923365.0,198226433.0,147237405.0,130945176.0,179216572.0,179504515.0
68,Asia,Industrias Manufactureras,2017.0,4,189724587.0,323553366.0,155214405.0,169275847.0,175626361.0,168923365.0,198226433.0,161760558.0,130945176.0,179216572.0
69,Asia,Industrias Manufactureras,2017.0,5,197157442.0,189724587.0,323553366.0,155214405.0,169275847.0,175626361.0,168923365.0,192334531.0,161760558.0,130945176.0
70,Asia,Industrias Manufactureras,2017.0,6,186261472.0,197157442.0,189724587.0,323553366.0,155214405.0,169275847.0,175626361.0,147237405.0,192334531.0,161760558.0
71,Asia,Industrias Manufactureras,2017.0,7,242855867.0,186261472.0,197157442.0,189724587.0,323553366.0,155214405.0,169275847.0,198226433.0,147237405.0,192334531.0
72,Asia,Industrias Extractivas,2016.0,8,830356.0,549048.0,974090.0,702997.0,608139.0,294119.0,435796.0,450671.0,693964.0,696133.0
73,Asia,Industrias Extractivas,2016.0,9,441432.0,830356.0,549048.0,974090.0,702997.0,608139.0,294119.0,353767.0,450671.0,693964.0
74,Asia,Industrias Extractivas,2016.0,10,503758.0,441432.0,830356.0,549048.0,974090.0,702997.0,608139.0,626398.0,353767.0,450671.0
75,Asia,Industrias Extractivas,2016.0,11,633786.0,503758.0,441432.0,830356.0,549048.0,974090.0,702997.0,435796.0,626398.0,353767.0
76,Asia,Industrias Extractivas,2016.0,12,438855.0,633786.0,503758.0,441432.0,830356.0,549048.0,974090.0,294119.0,435796.0,626398.0
77,Asia,Industrias Extractivas,2017.0,1,523084.0,438855.0,633786.0,503758.0,441432.0,830356.0,549048.0,608139.0,294119.0,435796.0
78,Asia,Industrias Extractivas,2017.0,2,384542.0,523084.0,438855.0,633786.0,503758.0,441432.0,830356.0,702997.0,608139.0,294119.0
79,Asia,Industrias Extractivas,2017.0,3,502383.0,384542.0,523084.0,438855.0,633786.0,503758.0,441432.0,974090.0,702997.0,608139.0
80,Asia,Industrias Extractivas,2017.0,4,538998.0,502383.0,384542.0,523084.0,438855.0,633786.0,503758.0,549048.0,974090.0,702997.0
81,Asia,Industrias Extractivas,2017.0,5,558994.0,538998.0,502383.0,384542.0,523084.0,438855.0,633786.0,830356.0,549048.0,974090.0
82,Asia,Industrias Extractivas,2017.0,6,683214.0,558994.0,538998.0,502383.0,384542.0,523084.0,438855.0,441432.0,830356.0,549048.0
83,Asia,Industrias Extractivas,2017.0,7,802993.0,683214.0,558994.0,538998.0,502383.0,384542.0,523084.0,503758.0,441432.0,830356.0
84,Asia,Agricultura y Silvicultura,2016.0,8,4053044.0,5203993.0,4354093.0,3765146.0,3187535.0,2703295.0,2577386.0,1502873.0,3066394.0,2490416.0
85,Asia,Agricultura y Silvicultura,2016.0,9,4749897.0,4053044.0,5203993.0,4354093.0,3765146.0,3187535.0,2703295.0,2442049.0,1502873.0,3066394.0
86,Asia,Agricultura y Silvicultura,2016.0,10,4648694.0,4749897.0,4053044.0,5203993.0,4354093.0,3765146.0,3187535.0,1431744.0,2442049.0,1502873.0
87,Asia,Agricultura y Silvicultura,2016.0,11,5717631.0,4648694.0,4749897.0,4053044.0,5203993.0,4354093.0,3765146.0,2577386.0,1431744.0,2442049.0
88,Asia,Agricultura y Silvicultura,2016.0,12,4428425.0,5717631.0,4648694.0,4749897.0,4053044.0,5203993.0,4354093.0,2703295.0,2577386.0,1431744.0
89,Asia,Agricultura y Silvicultura,2017.0,1,4700126.0,4428425.0,5717631.0,4648694.0,4749897.0,4053044.0,5203993.0,3187535.0,2703295.0,2577386.0
90,Asia,Agricultura y Silvicultura,2017.0,2,6567657.0,4700126.0,4428425.0,5717631.0,4648694.0,4749897.0,4053044.0,3765146.0,3187535.0,2703295.0
91,Asia,Agricultura y Silvicultura,2017.0,3,9988983.0,6567657.0,4700126.0,4428425.0,5717631.0,4648694.0,4749897.0,4354093.0,3765146.0,3187535.0
92,Asia,Agricultura y Silvicultura,2017.0,4,4638547.0,9988983.0,6567657.0,4700126.0,4428425.0,5717631.0,4648694.0,5203993.0,4354093.0,3765146.0
93,Asia,Agricultura y Silvicultura,2017.0,5,7586434.0,4638547.0,9988983.0,6567657.0,4700126.0,4428425.0,5717631.0,4053044.0,5203993.0,4354093.0
94,Asia,Agricultura y Silvicultura,2017.0,6,6610099.0,7586434.0,4638547.0,9988983.0,6567657.0,4700126.0,4428425.0,4749897.0,4053044.0,5203993.0
95,Asia,Agricultura y Silvicultura,2017.0,7,4276965.0,6610099.0,7586434.0,4638547.0,9988983.0,6567657.0,4700126.0,4648694.0,4749897.0,4053044.0
96,Asia,Servicios y Productos no Clasificados,2016.0,8,4110941.0,1650918.0,1684441.0,1001110.0,2886888.0,3405829.0,639335.0,62373.0,2880.0,43937.0
97,Asia,Servicios y Productos no Clasificados,2016.0,9,3070324.0,4110941.0,1650918.0,1684441.0,1001110.0,2886888.0,3405829.0,42.0,62373.0,2880.0
98,Asia,Servicios y Productos no Clasificados,2016.0,10,960132.0,3070324.0,4110941.0,1650918.0,1684441.0,1001110.0,2886888.0,336814.0,42.0,62373.0
99,Asia,Servicios y Productos no Clasificados,2016.0,11,1166471.0,960132.0,3070324.0,4110941.0,1650918.0,1684441.0,1001110.0,639335.0,336814.0,42.0
100,Asia,Servicios y Productos no Clasificados,2016.0,12,1332445.0,1166471.0,960132.0,3070324.0,4110941.0,1650918.0,1684441.0,3405829.0,639335.0,336814.0
101,Asia,Servicios y Productos no Clasificados,2017.0,1,1886427.0,1332445.0,1166471.0,960132.0,3070324.0,4110941.0,1650918.0,2886888.0,3405829.0,639335.0
102,Asia,Servicios y Productos no Clasificados,2017.0,2,3435939.0,1886427.0,1332445.0,1166471.0,960132.0,3070324.0,4110941.0,1001110.0,2886888.0,3405829.0
103,Asia,Servicios y Productos no Clasificados,2017.0,3,2868756.0,3435939.0,1886427.0,1332445.0,1166471.0,960132.0,3070324.0,1684441.0,1001110.0,2886888.0
104,Asia,Servicios y Productos no Clasificados,2017.0,4,2044182.0,2868756.0,3435939.0,1886427.0,1332445.0,1166471.0,960132.0,1650918.0,1684441.0,1001110.0
105,Asia,Servicios y Productos no Clasificados,2017.0,5,1013141.0,2044182.0,2868756.0,3435939.0,1886427.0,1332445.0,1166471.0,4110941.0,1650918.0,1684441.0
106,Asia,Servicios y Productos no Clasificados,2017.0,6,1744764.0,1013141.0,2044182.0,2868756.0,3435939.0,1886427.0,1332445.0,3070324.0,4110941.0,1650918.0
107,Asia,Servicios y Productos no Clasificados,2017.0,7,1843572.0,1744764.0,1013141.0,2044182.0,2868756.0,3435939.0,1886427.0,960132.0,3070324.0,4110941.0
108,Asia,"Ganadería, Apicultura, Caza, Pesca",2016.0,8,50.0,0.0,150.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
109,Asia,"Ganadería, Apicultura, Caza, Pesca",2016.0,9,0.0,50.0,0.0,150.0,0.0,100.0,0.0,0.0,0.0,0.0
110,Asia,"Ganadería, Apicultura, Caza, Pesca",2016.0,10,100.0,0.0,50.0,0.0,150.0,0.0,100.0,0.0,0.0,0.0
111,Asia,"Ganadería, Apicultura, Caza, Pesca",2016.0,11,20.0,100.0,0.0,50.0,0.0,150.0,0.0,0.0,0.0,0.0
112,Asia,"Ganadería, Apicultura, Caza, Pesca",2016.0,12,0.0,20.0,100.0,0.0,50.0,0.0,150.0,0.0,0.0,0.0
113,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,1,0.0,0.0,20.0,100.0,0.0,50.0,0.0,100.0,0.0,0.0
114,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,2,0.0,0.0,0.0,20.0,100.0,0.0,50.0,0.0,100.0,0.0
115,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,3,0.0,0.0,0.0,0.0,20.0,100.0,0.0,150.0,0.0,100.0
116,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,4,0.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,150.0,0.0
117,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,0.0,150.0
118,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
119,Asia,"Ganadería, Apicultura, Caza, Pesca",2017.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0
120,Europa,Industrias Manufactureras,2016.0,8,246231013.0,262138360.0,228164746.0,208791354.0,247743820.0,224578301.0,230825018.0,238641866.0,267988059.0,246106983.0
