Pais_comprador,Industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
Europa,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1,N/D,N/D,N/D,N/D,N/D,40,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,20,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,0,N/D,N/D,N/D,N/D,N/D,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50,N/D,200,378,50,100,100,N/D,200,90,N/D,90,N/D,N/D,N/D,50,N/D,200,1573
Europa,Clasificación industrial,53107345,51994767,43633896,43886762,48327092,68399694,42459989,53276917,95120605,51478179,65573205,105214853,49496565,39233321,72047373,43080060,53360471,54010404,47406249,81848334,58439021,62315291,52295522,76216057,69109227,59756618,72405626,65403097,97517157,106165893,107744123,96250341,99857720,60489603,45527421,76965550,59676692,59084386,65263640,47718659,37836347,48506994,50936303,36902209,57171540,31726750,35016854,46196167,44932165,48295395,65622303,43583532,51987600,56332978,59251599,66970646,63837103,63487894,76188624,89069903,84394343,81718426,96713212,94606491,110176031,129986368,105372798,133241174,120379089,112813239,121516302,109250056,118963259,105492421,125078529,126698420,132428620,120617668,113921403,136614707,130859664,204586436,208442347,166140188,232560723,205499478,222240429,207766837,246001627,204396899,233753474,211181641,199668142,241900424,203610914,209486086,191140067,142170733,161262542,201016441,191987256,222452363,221561409,148359315,191755158,191701445,149386872,212293156,147752797,122315761,140627177,158379985,140718851,141309724,132335548,118281908,136611443,130192009,121748116,216327819,148147145,163532829,215495594,167131823,135322770,153497457,167237354,166990952,193047214,190992028,221862598,258841278,227669330,212305109,231478153,178725291,191700901,213410822,221717576,207111253,186581968,192210791,234577075,242731422,283398131,251544614,285233208,276763949,281874230,259828106,279617998,285395334,231567130,255131684,265000367,252988904,262775037,218598546,250450369,254500300,250529283,235391435,271062308,256049924,240011300,275923446,244384772,271713698,289438492,294069017,248947415,297156509,268750663,267598035,346066169,273564241,270673968,300841564,267689830,411322165,289423729,220042118,265185641,315275938,214369090,272473092,343337002,290382379,257220209,277854646,247496256,257764755,347003070,248593285,243042520,260534772,220113373,241544546,277154219,262114961,973313247,1183277182,1073711488,685571777,1026650759,902362841,786497541,952082562,1095939706,1023458819,909764917,43676502363
Africa,Industrias Manufactureras,252362,326712,221965,424858,464044,428912,369267,476801,597309,372211,408439,451233,173157,270977,1340224,374661,240518,491994,146951,135381,564468,403326,441357,1145392,89646,421115,739266,168455,859349,330949,589561,168261,162367,152647,184531,200571,43697,198206,134539,70194,293180,171418,1138022,213196,205507,443439,130938,41059,247214,389078,393731,615293,477705,447497,758696,521370,740308,759998,388270,971269,664562,238296,386892,1111927,586421,833296,1573398,1455835,649317,402889,869292,721023,1093640,309456,532697,1281761,793864,956014,1588247,1336366,1088337,1157112,1011471,843133,868946,1129150,1803404,611280,696492,1051127,1403208,1911999,1682874,1956808,963450,2100429,1391795,3190295,10143030,16019306,13763818,3544001,16592703,17674356,17323955,2512439,994065,1241229,1183479,946502,1136371,1772190,2841323,1064007,693819,1175326,1761026,550530,1276958,1850700,5361347,856103,4888709,1583190,2699107,2815752,2722600,2119777,5626187,25607424,1429536,9983105,1499584,15108994,1989943,1603640,3340845,17345688,8239359,10347546,4280210,3099868,2065719,6827877,7005657,6018392,3249418,5930961,4540239,11328718,7299243,7637024,4602780,3001934,5158358,5237982,4098796,3076062,9946530,5404985,4094973,11111119,5187495,6956228,10397534,4050999,5821358,2876208,9610199,5484215,4457496,4311244,4156640,4835470,3964556,5923858,6726396,4221879,6326265,7282358,6994247,4360644,5898211,7492459,2191640,5662133,10819611,5233114,4845454,6730740,3334127,7450468,9067745,4175365,4148766,4920866,6439046,3344645,6147381,8405052,4886786,3976625,6005280,7214604,7068321,3560762,5072911,5441904,7451467,4671475,8835510,717313750
Africa,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,25,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1410,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,245,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,210,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2900,N/D,N/D,N/D,N/D,N/D,N/D,4790
Africa,Agricultura y Silvicultura,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,7,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,6,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,506,N/D,N/D,N/D,N/D,N/D,N/D,10,N/D,N/D,N/D,N/D,N/D,N/D,56,N/D,N/D,150,N/D,480,N/D,280,360,840,680,N/D,300,N/D,N/D,N/D,N/D,56530,N/D,511,1,475,56400,145529,N/D,10,22840,25,9,N/D,4201,126,N/D,264423,210,478,N/D,N/D,486,6076,293,475020,2318,N/D,N/D,N/D,3603,391,114660,N/D,78181,12360,328885,279917,150659,N/D,170530,N/D,60913,3,70400,N/D,N/D,2658,244087,N/D,N/D,248320,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2870,N/D,N/D,N/D,89760,5396,108900,N/D,306,N/D,N/D,60720,587,N/D,N/D,N/D,41360,359,2113,N/D,N/D,N/D,4445,31200,N/D,2359,862853,1066,827795,90,N/D,N/D,N/D,N/D,N/D,N/D,340450,85528,N/D,5273358
Africa,Servicios y Productos no Clasificados,N/D,N/D,0,N/D,N/D,N/D,792,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,10,10,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,13,2,0,N/D,N/D,N/D,N/D,N/D,N/D,244,N/D,N/D,N/D,N/D,N/D,N/D,N/D,20,8,26,N/D,N/D,N/D,N/D,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,21,N/D,N/D,N/D,N/D,22,N/D,N/D,N/D,182,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,46,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,150,N/D,N/D,N/D,24,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,30,40,N/D,N/D,7,42,50,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,42,N/D,10,19374,N/D,N/D,N/D,56,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40000,40000,5000,7900,30000,173761,30000,198261,203950,40501,102000,77931,N/D,84950,N/D,4500,126437,312415,1498837
Africa,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Africa,Clasificación industrial,252362,326712,221965,424858,464044,428912,370084,476801,597309,372211,408439,451233,173157,270977,1340224,374661,240518,491994,146951,135381,564468,403326,441357,1145392,89646,421115,739266,168455,859349,330949,589561,168261,162377,152657,184531,200571,43697,198206,134539,70194,293180,171418,1138022,213196,205507,443439,130938,41059,247227,389080,393738,615293,477705,447497,758696,521370,740308,760242,388270,971269,664562,238296,386892,1111933,586421,833316,1573406,1455861,649317,402889,869292,721023,1093640,309461,532697,1281761,793864,956014,1588247,1336366,1088337,1157112,1011998,843133,868946,1129150,1803404,611302,696492,1051137,1403208,1912181,1682874,1956808,963450,2100429,1391851,3190295,10143030,16019456,13763818,3544481,16592703,17674682,17324315,2513279,994745,1241229,1183779,946502,1136371,1772190,2841473,1120537,693819,1175837,1761051,551005,1333358,1996229,5361347,856113,4911549,1583215,2699116,2815752,2726801,2119908,5626187,25871847,1429746,9983583,1499584,15108994,1990429,1609716,3341138,17820708,8241677,10348956,4280210,3099868,2069322,6828268,7120317,6018392,3327599,5943351,4869164,11608635,7449902,7637031,4773352,3001984,5219271,5237985,4169196,3076062,9946530,5407643,4339060,11111119,5187495,7204548,10397534,4050999,5821358,2876208,9610199,5484215,4457496,4311244,4159552,4835470,3964566,5943232,6816156,4227275,6435410,7282414,6994553,4360644,5898211,7553179,2192227,5662133,10819611,5233114,4886814,6731099,3336450,7450468,9067745,4215365,4193211,4957066,6446946,3377004,7183995,8436118,5912842,4180665,6045781,7316604,7149152,3560762,5157861,5441904,7796417,4883440,9147925,724090735
Oceanía,Industrias Manufactureras,1038979,3077718,2658342,3793144,3045724,2384078,1422402,2805609,2376201,2937552,1733107,2949783,1029812,1245143,2597171,1447699,1599977,2184437,1923923,1440728,2065047,1298207,1335719,3611298,930599,2078798,1545219,18745096,1875644,3727185,13589460,1671025,3359204,1535898,2562653,3265823,1140452,1936076,3316403,1654274,1062505,2946470,2246553,2154542,2110083,2685205,740229,1650333,1303595,1081913,2284246,997668,926245,2813610,1605477,2212902,2926634,3430650,3211395,2153718,2200749,4590565,2049391,2565490,2059309,2581263,1876019,2604157,3265907,2614118,2202203,5202271,1745045,1892774,2315104,1526619,3084521,4489868,2161315,2546218,2682688,4485326,3489716,5878199,6342739,4286433,5922417,5265727,5264758,5698220,6005213,5915753,5277296,7839757,6933582,8508019,7299519,5750979,5272439,6805348,5613083,7772807,6300175,6385557,5109841,4798490,8657212,7417043,7404285,6090370,6082688,5701851,5640349,5920755,4584959,6212378,6405213,3830833,5768904,7122267,7016326,3057910,5128050,5201711,3257031,4843834,6136734,5941208,11323905,14876662,7347765,11949501,10283775,8251946,8616067,10691173,12066662,14684876,11084421,3567438,10457159,8164094,4279223,8172508,16071729,17358111,16457182,14893038,16947025,19518509,25744217,22056526,24390717,14872265,22926492,28363539,19066164,15144375,23039240,18851927,16061020,24082388,19189082,22752906,13828613,15871696,8254928,8842572,7802538,8860225,9805327,9735578,10136253,9211705,9936694,9065274,10305748,10112119,8268925,11536792,5751947,5927477,5623010,10849739,7385036,24442882,22629159,10762770,14412952,18256313,11901752,18009495,14204419,7768542,17182416,6025429,9808378,15681872,8229177,10362671,13620941,11864106,11475576,7563725,19926936,14333464,12179347,17812245,15524053,34757883,16112615,1622943291
Oceanía,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,26922,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1600,N/D,N/D,800,N/D,N/D,N/D,N/D,N/D,1600,N/D,N/D,3200,N/D,N/D,3200,N/D,N/D,N/D,N/D,N/D,5396,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,6350,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,2753,N/D,N/D,6350,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5412,4241,N/D,N/D,6652,4241,N/D,N/D,9653,4241,8482,16482,27324,27324,26524,18216,N/D,10240,18612,N/D,N/D,N/D,18216,10240,N/D,28456,N/D,27232,N/D,N/D,10205,N/D,9402,18216,N/D,367782
Oceanía,Agricultura y Silvicultura,20235,N/D,N/D,21256,21940,N/D,22811,N/D,N/D,N/D,20180,N/D,17910,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1712,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3200,N/D,13650,N/D,N/D,19500,N/D,N/D,N/D,N/D,N/D,N/D,31860,N/D,N/D,N/D,N/D,N/D,N/D,N/D,34200,N/D,N/D,N/D,N/D,29550,N/D,N/D,N/D,N/D,35460,N/D,30141,10,3180,N/D,30141,N/D,N/D,37326,5,N/D,33023,N/D,N/D,N/D,N/D,N/D,3105,33000,N/D,N/D,N/D,N/D,N/D,N/D,N/D,41325,N/D,N/D,N/D,N/D,N/D,N/D,41465,N/D,N/D,32387,N/D,N/D,34834,N/D,N/D,N/D,N/D,38350,N/D,N/D,8875,39750,N/D,N/D,N/D,N/D,N/D,N/D,N/D,11311,N/D,N/D,N/D,N/D,N/D,N/D,14157,N/D,N/D,N/D,274334,273950,N/D,N/D,N/D,16633,N/D,N/D,N/D,N/D,12787,5073,N/D,N/D,N/D,32900,22215,1977,N/D,N/D,N/D,14803,N/D,N/D,18000,16405,N/D,N/D,56727,72947,26832,N/D,21723,N/D,8624,N/D,N/D,16342,90587,N/D,620,28253,N/D,11121,47525,1060,N/D,11048,N/D,16566,8225,N/D,95302,99218,7895,16720,N/D,1085,67990,44397,9842,33484,53642,51407,35280,25203,2374593
Oceanía,Servicios y Productos no Clasificados,303,N/D,35,N/D,N/D,17,N/D,N/D,N/D,N/D,7,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,163,N/D,N/D,10,N/D,N/D,N/D,N/D,4,24,1,N/D,N/D,N/D,1475,N/D,150,N/D,N/D,N/D,N/D,250,N/D,N/D,N/D,30,N/D,11,N/D,9,8,160,1,2,85,1,5,100,4,N/D,1,N/D,3,2,100,2,1,N/D,N/D,N/D,3,N/D,2,N/D,N/D,N/D,N/D,1,1,3,N/D,235,N/D,1,N/D,N/D,N/D,1,1,1,9,2,32,37,N/D,3,1,N/D,N/D,2,1,1,N/D,N/D,1,N/D,1,N/D,1,N/D,1,1,N/D,1,N/D,N/D,1,261,1,N/D,1,N/D,1,N/D,1,N/D,5,1,2877,N/D,N/D,1,22,1,2,N/D,1,1,1,N/D,N/D,1,2,1,5,1,N/D,1,1,0,691,3,1,142,3,N/D,N/D,2514,3,2,2,1,2,2,N/D,N/D,46,32,120,2,28,154,20,N/D,N/D,8,16,7,N/D,N/D,N/D,N/D,N/D,20,N/D,N/D,N/D,12,20,N/D,60000,29482,N/D,20010,35174,35823,20491,14771,86013,111280,43668,27000,14760,26000,12971,N/D,5160,86051,639002
Oceanía,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,140,140
Oceanía,Clasificación industrial,1059517,3077718,2658377,3814400,3067664,2384095,1445213,2805609,2376201,2937552,1753294,2949783,1047722,1245143,2597171,1474621,1599977,2184437,1923923,1440728,2065047,1299919,1335719,3611461,930599,2078798,1545229,18745096,1875644,3727185,13589460,1671029,3359228,1535899,2562653,3265823,1140452,1937551,3316403,1654424,1062505,2946470,2246553,2154542,2110333,2685205,740229,1653533,1303625,1095563,2284257,997668,945754,2813618,1605637,2212903,2926636,3430735,3211396,2185583,2200849,4590569,2049391,2565491,2059309,2581266,1876021,2638457,3265909,2614119,2202203,5202271,1774595,1892777,2315104,1526621,3084521,4525328,2161315,2576359,2682699,4488507,3489719,5908340,6342974,4286433,5959744,5265732,5264758,5731243,6005214,5915754,5277297,7839766,6933584,8511156,7332556,5750979,5272442,6805349,5613083,7772807,6300177,6385558,5151167,4798490,8657212,7417044,7404285,6090371,6082688,5743317,5640349,5920756,4617347,6212378,6406814,3865667,5768904,7123068,7016587,3057911,5166400,5201712,3257031,4854310,6176484,5941209,11327105,14876667,7347766,11955578,10283775,8251946,8627379,10691195,12066663,14690274,11084421,3567439,10457160,8178252,4279223,8172508,16071730,17632447,16731133,14893043,16947026,19518509,25760851,22056527,24390717,14879306,22926495,28376327,19071379,15144378,23039240,18851927,16096434,24104606,19191061,22755661,13828614,15871698,8276083,8842572,7802538,8878271,9821764,9735698,10136255,9268460,10009795,9092126,10311160,10138083,8268933,11545432,5758606,5931718,5639352,10940326,7394689,24447743,22665914,10779252,14451397,18331162,11929348,18027731,14215467,7838782,17247076,6033654,9828388,15812348,8382434,10401297,13652432,11978575,11587941,7702615,19998333,14358066,12249036,17878858,15584862,34816539,16224009,1626324808
