,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-6
46,33531501.132222224,295442415.28809524,2003.0,11,139718113.0,95516128.0,99637738.0,84397497.0,62084305.0
47,33531501.132222224,295442415.28809524,2003.0,12,87220366.0,139718113.0,95516128.0,99637738.0,78329872.0
48,33531501.132222224,295442415.28809524,2004.0,1,54292776.0,87220366.0,139718113.0,95516128.0,96628822.0
49,33531501.132222224,295442415.28809524,2004.0,2,62814703.0,54292776.0,87220366.0,139718113.0,84397497.0
50,33531501.132222224,295442415.28809524,2004.0,3,67300724.0,62814703.0,54292776.0,87220366.0,99637738.0
51,33531501.132222224,295442415.28809524,2004.0,4,65268285.0,67300724.0,62814703.0,54292776.0,95516128.0
52,33531501.132222224,295442415.28809524,2004.0,5,64595511.0,65268285.0,67300724.0,62814703.0,139718113.0
53,33531501.132222224,295442415.28809524,2004.0,6,62128795.0,64595511.0,65268285.0,67300724.0,87220366.0
54,33531501.132222224,295442415.28809524,2004.0,7,56833656.0,62128795.0,64595511.0,65268285.0,54292776.0
55,33531501.132222224,295442415.28809524,2004.0,8,70327842.0,56833656.0,62128795.0,64595511.0,62814703.0
56,33531501.132222224,295442415.28809524,2004.0,9,61219999.0,70327842.0,56833656.0,62128795.0,67300724.0
57,33531501.132222224,295442415.28809524,2004.0,10,66213140.0,61219999.0,70327842.0,56833656.0,65268285.0
58,33531501.132222224,295442415.28809524,2004.0,11,81508155.0,66213140.0,61219999.0,70327842.0,64595511.0
59,33531501.132222224,295442415.28809524,2004.0,12,65054509.0,81508155.0,66213140.0,61219999.0,62128795.0
60,33531501.132222224,295442415.28809524,2005.0,1,58285129.0,65054509.0,81508155.0,66213140.0,56833656.0
61,33531501.132222224,295442415.28809524,2005.0,2,81260433.0,58285129.0,65054509.0,81508155.0,70327842.0
62,33531501.132222224,295442415.28809524,2005.0,3,68131575.0,81260433.0,58285129.0,65054509.0,61219999.0
63,33531501.132222224,295442415.28809524,2005.0,4,74255828.0,68131575.0,81260433.0,58285129.0,66213140.0
64,33531501.132222224,295442415.28809524,2005.0,5,72027599.0,74255828.0,68131575.0,81260433.0,81508155.0
65,33531501.132222224,295442415.28809524,2005.0,6,72909762.0,72027599.0,74255828.0,68131575.0,65054509.0
66,33531501.132222224,295442415.28809524,2005.0,7,80570266.0,72909762.0,72027599.0,74255828.0,58285129.0
67,33531501.132222224,295442415.28809524,2005.0,8,77186708.0,80570266.0,72909762.0,72027599.0,81260433.0
68,33531501.132222224,295442415.28809524,2005.0,9,83873893.0,77186708.0,80570266.0,72909762.0,68131575.0
69,33531501.132222224,295442415.28809524,2005.0,10,76430440.0,83873893.0,77186708.0,80570266.0,74255828.0
70,33531501.132222224,295442415.28809524,2005.0,11,103148390.0,76430440.0,83873893.0,77186708.0,72027599.0
71,33531501.132222224,295442415.28809524,2005.0,12,80411008.0,103148390.0,76430440.0,83873893.0,72909762.0
72,33531501.132222224,295442415.28809524,2006.0,1,76076809.0,80411008.0,103148390.0,76430440.0,80570266.0
73,33531501.132222224,295442415.28809524,2006.0,2,72823285.0,76076809.0,80411008.0,103148390.0,77186708.0
74,33531501.132222224,295442415.28809524,2006.0,3,95966953.0,72823285.0,76076809.0,80411008.0,83873893.0
75,33531501.132222224,295442415.28809524,2006.0,4,77188389.0,95966953.0,72823285.0,76076809.0,76430440.0
76,33531501.132222224,295442415.28809524,2006.0,5,91317411.0,77188389.0,95966953.0,72823285.0,103148390.0
77,33531501.132222224,295442415.28809524,2006.0,6,88001064.0,91317411.0,77188389.0,95966953.0,80411008.0
78,33531501.132222224,295442415.28809524,2006.0,7,73507932.0,88001064.0,91317411.0,77188389.0,76076809.0
79,33531501.132222224,295442415.28809524,2006.0,8,83395018.0,73507932.0,88001064.0,91317411.0,72823285.0
