,Pais_comprador,Industria,Año,Mes,Monto
193,América Latina,Industrias Manufactureras,2016,Febrero,156284467.0
194,América Latina,Industrias Manufactureras,2016,Marzo,172482653.0
195,América Latina,Industrias Manufactureras,2016,Abril,180442928.0
196,América Latina,Industrias Manufactureras,2016,Mayo,186511927.0
197,América Latina,Industrias Manufactureras,2016,Junio,235400594.0
198,América Latina,Industrias Manufactureras,2016,Julio,182003493.0
199,América Latina,Industrias Manufactureras,2016,Agosto,184201588.0
200,América Latina,Industrias Manufactureras,2016,Septiembre,209812150.0
201,América Latina,Industrias Manufactureras,2016,Octubre,206177987.0
202,América Latina,Industrias Manufactureras,2016,Noviembre,193984710.0
203,América Latina,Industrias Manufactureras,2016,Diciembre,188936649.0
204,América Latina,Industrias Manufactureras,2017,Enero,176497741.0
205,América Latina,Industrias Manufactureras,2017,Febrero,170571934.0
206,América Latina,Industrias Manufactureras,2017,Marzo,213453105.0
207,América Latina,Industrias Manufactureras,2017,Abril,190375350.0
208,América Latina,Industrias Manufactureras,2017,Mayo,226491300.0
209,América Latina,Industrias Manufactureras,2017,Junio,231492812.0
210,América Latina,Industrias Manufactureras,2017,Julio,205106823.0
211,América Latina,Industrias Extractivas,2000,Enero,242891.0
212,América Latina,Industrias Extractivas,2000,Febrero,222199.0
213,América Latina,Industrias Extractivas,2000,Marzo,239427.0
214,América Latina,Industrias Extractivas,2000,Abril,243048.0
215,América Latina,Industrias Extractivas,2000,Mayo,219040.0
216,América Latina,Industrias Extractivas,2000,Junio,165866.0
217,América Latina,Industrias Extractivas,2000,Julio,227184.0
218,América Latina,Industrias Extractivas,2000,Agosto,437984.0
219,América Latina,Industrias Extractivas,2000,Septiembre,306574.0
220,América Latina,Industrias Extractivas,2000,Octubre,398980.0
221,América Latina,Industrias Extractivas,2000,Noviembre,252689.0
222,América Latina,Industrias Extractivas,2000,Diciembre,263640.0
223,América Latina,Industrias Extractivas,2001,Enero,449014.0
224,América Latina,Industrias Extractivas,2001,Febrero,330353.0
225,América Latina,Industrias Extractivas,2001,Marzo,275235.0
226,América Latina,Industrias Extractivas,2001,Abril,433334.0
227,América Latina,Industrias Extractivas,2001,Mayo,180505.0
228,América Latina,Industrias Extractivas,2001,Junio,581555.0
229,América Latina,Industrias Extractivas,2001,Julio,435150.0
230,América Latina,Industrias Extractivas,2001,Agosto,365458.0
231,América Latina,Industrias Extractivas,2001,Septiembre,522324.0
232,América Latina,Industrias Extractivas,2001,Octubre,608566.0
233,América Latina,Industrias Extractivas,2001,Noviembre,444398.0
234,América Latina,Industrias Extractivas,2001,Diciembre,412927.0
235,América Latina,Industrias Extractivas,2002,Enero,415556.0
236,América Latina,Industrias Extractivas,2002,Febrero,415771.0
237,América Latina,Industrias Extractivas,2002,Marzo,181029.0
238,América Latina,Industrias Extractivas,2002,Abril,422848.0
239,América Latina,Industrias Extractivas,2002,Mayo,378275.0
240,América Latina,Industrias Extractivas,2002,Junio,478007.0
241,América Latina,Industrias Extractivas,2002,Julio,368810.0
242,América Latina,Industrias Extractivas,2002,Agosto,421565.0
243,América Latina,Industrias Extractivas,2002,Septiembre,225250.0
244,América Latina,Industrias Extractivas,2002,Octubre,374254.0
245,América Latina,Industrias Extractivas,2002,Noviembre,385655.0
246,América Latina,Industrias Extractivas,2002,Diciembre,391342.0
247,América Latina,Industrias Extractivas,2003,Enero,348085.0
248,América Latina,Industrias Extractivas,2003,Febrero,240836.0
249,América Latina,Industrias Extractivas,2003,Marzo,212791.0
250,América Latina,Industrias Extractivas,2003,Abril,388565.0
251,América Latina,Industrias Extractivas,2003,Mayo,376339.0
252,América Latina,Industrias Extractivas,2003,Junio,456608.0
253,América Latina,Industrias Extractivas,2003,Julio,511712.0
254,América Latina,Industrias Extractivas,2003,Agosto,551539.0
255,América Latina,Industrias Extractivas,2003,Septiembre,350195.0
256,América Latina,Industrias Extractivas,2003,Octubre,393225.0
257,América Latina,Industrias Extractivas,2003,Noviembre,252332.0
258,América Latina,Industrias Extractivas,2003,Diciembre,497163.0
259,América Latina,Industrias Extractivas,2004,Enero,5811.0
260,América Latina,Industrias Extractivas,2004,Febrero,0.0
261,América Latina,Industrias Extractivas,2004,Marzo,9438.0
262,América Latina,Industrias Extractivas,2004,Abril,19717.0
263,América Latina,Industrias Extractivas,2004,Mayo,18175.0
264,América Latina,Industrias Extractivas,2004,Junio,12766.0
265,América Latina,Industrias Extractivas,2004,Julio,4815.0
266,América Latina,Industrias Extractivas,2004,Agosto,11461.0
267,América Latina,Industrias Extractivas,2004,Septiembre,16093.0
268,América Latina,Industrias Extractivas,2004,Octubre,492.0
269,América Latina,Industrias Extractivas,2004,Noviembre,4792.0
270,América Latina,Industrias Extractivas,2004,Diciembre,6660.0
271,América Latina,Industrias Extractivas,2005,Enero,264079.0
272,América Latina,Industrias Extractivas,2005,Febrero,322568.0
273,América Latina,Industrias Extractivas,2005,Marzo,258429.0
274,América Latina,Industrias Extractivas,2005,Abril,340366.0
275,América Latina,Industrias Extractivas,2005,Mayo,307968.0
276,América Latina,Industrias Extractivas,2005,Junio,304636.0
277,América Latina,Industrias Extractivas,2005,Julio,348916.0
278,América Latina,Industrias Extractivas,2005,Agosto,385008.0
279,América Latina,Industrias Extractivas,2005,Septiembre,363115.0
280,América Latina,Industrias Extractivas,2005,Octubre,314797.0
281,América Latina,Industrias Extractivas,2005,Noviembre,391919.0
282,América Latina,Industrias Extractivas,2005,Diciembre,512687.0
283,América Latina,Industrias Extractivas,2006,Enero,353185.0
284,América Latina,Industrias Extractivas,2006,Febrero,275659.0
285,América Latina,Industrias Extractivas,2006,Marzo,356356.0
286,América Latina,Industrias Extractivas,2006,Abril,405609.0
287,América Latina,Industrias Extractivas,2006,Mayo,292023.0
288,América Latina,Industrias Extractivas,2006,Junio,467807.0
289,América Latina,Industrias Extractivas,2006,Julio,422954.0
290,América Latina,Industrias Extractivas,2006,Agosto,368981.0
291,América Latina,Industrias Extractivas,2006,Septiembre,435599.0
292,América Latina,Industrias Extractivas,2006,Octubre,554961.0
293,América Latina,Industrias Extractivas,2006,Noviembre,80451.0
294,América Latina,Industrias Extractivas,2006,Diciembre,38111.0
295,América Latina,Industrias Extractivas,2007,Enero,17619.0
296,América Latina,Industrias Extractivas,2007,Febrero,25730.0
297,América Latina,Industrias Extractivas,2007,Marzo,29205.0
298,América Latina,Industrias Extractivas,2007,Abril,10558.0
299,América Latina,Industrias Extractivas,2007,Mayo,51795.0
300,América Latina,Industrias Extractivas,2007,Junio,64163.0
301,América Latina,Industrias Extractivas,2007,Julio,51209.0
302,América Latina,Industrias Extractivas,2007,Agosto,12472.0
303,América Latina,Industrias Extractivas,2007,Septiembre,56222.0
304,América Latina,Industrias Extractivas,2007,Octubre,43404.0
305,América Latina,Industrias Extractivas,2007,Noviembre,13755.0
306,América Latina,Industrias Extractivas,2007,Diciembre,31345.0
307,América Latina,Industrias Extractivas,2008,Enero,305355.0
308,América Latina,Industrias Extractivas,2008,Febrero,523310.0
309,América Latina,Industrias Extractivas,2008,Marzo,27627.0
310,América Latina,Industrias Extractivas,2008,Abril,57609.0
311,América Latina,Industrias Extractivas,2008,Mayo,121822.0
312,América Latina,Industrias Extractivas,2008,Junio,18704.0
313,América Latina,Industrias Extractivas,2008,Julio,46706.0
314,América Latina,Industrias Extractivas,2008,Agosto,56279.0
315,América Latina,Industrias Extractivas,2008,Septiembre,82050.0
316,América Latina,Industrias Extractivas,2008,Octubre,68132.0
317,América Latina,Industrias Extractivas,2008,Noviembre,17721.0
318,América Latina,Industrias Extractivas,2008,Diciembre,41497.0
319,América Latina,Industrias Extractivas,2009,Enero,11784.0
320,América Latina,Industrias Extractivas,2009,Febrero,34804.0
321,América Latina,Industrias Extractivas,2009,Marzo,12130.0
322,América Latina,Industrias Extractivas,2009,Abril,42642.0
